date,price,market_cap,total_volume,daily_return,log_return,volatility_7d,ma_7,ma_30,volume_change
2021-06-24,33702.61779371396,631634847766.2311,39798236962.44067,0.036756758058622774,0.03609733862672321,0.052792761452629525,34766.53459353594,36596.57776398558,-0.3071701210293769
2021-06-25,34675.44910530336,650340461975.8141,31862051544.34989,0.028865155743802662,0.028456404284144487,0.055507364743032826,34263.93887401585,36478.73256024257,-0.19941047704149562
2021-06-26,31943.136467863093,598703019611.4526,38635245431.3565,-0.07879674836056794,-0.08207458125521908,0.05849781030712728,33701.37103065694,36229.93930103413,0.21257871225205838
2021-06-27,32023.97390177492,600235334320.8247,36873109419.90242,0.002530666767590395,0.0025274700225745056,0.05884532683385623,33193.13269266307,36009.30857928189,-0.04560954620011093
2021-06-28,34607.293274083386,649262127990.3759,34335452117.32629,0.08066829495402783,0.07757964138763358,0.06886372479805336,33024.59210249894,35972.544323867005,-0.06882135362325636
2021-06-29,34556.8421269449,647741224116.9337,32453802891.01519,-0.0014578183488352936,-0.0014588819998700724,0.04879486790403204,33431.007339530064,35965.269747649414,-0.054801935325662576
2021-06-30,35968.993667970346,674231340724.4149,35121257875.54662,0.04086460029645922,0.04005171421513905,0.0497799674012718,33925.472333950565,35973.7444692424,0.08219237028982862
2021-07-01,35171.486304850056,660200427590.4775,31024153846.87852,-0.022172078832176312,-0.022421574154440373,0.05058852537301243,34135.310692684296,35901.438037206,-0.11665595928216266
2021-07-02,33677.566235922626,629863895571.7473,29129630236.14075,-0.042475318102249804,-0.043403780820664865,0.0526441924880315,33992.75599705848,35801.35463834332,-0.0610660848346839
2021-07-03,33950.786555181,633684390025.5607,25084046353.169456,0.008112828502641056,0.00808009642347615,0.04066891112208964,34279.56315238961,35676.85692412441,-0.13888208844999317
2021-07-04,34729.89077801021,650382046624.6503,22986053604.70427,0.022948046330617755,0.022688700079288,0.04082276556637923,34666.1227061375,35529.47607726474,-0.08363852940337513
2021-07-05,35394.213074080915,663571591568.1959,22727930417.748825,0.01912825756686032,0.018947612430869405,0.028393653086104448,34778.53982042287,35477.99250268772,-0.011229556469085078
2021-07-06,33928.13421837147,636061920914.8282,25894820184.74507,-0.041421428204687194,-0.042303746152068285,0.033185130912811986,34688.72440491238,35424.03077780564,0.13933911749937167
2021-07-07,34149.98981477412,640405812761.686,26106856611.92326,0.006538986051361384,0.00651769962610713,0.027883033545926163,34428.86671159863,35367.8812891513,0.008188372256128007
2021-07-08,33932.25463831538,636246944189.2604,23692220470.135063,-0.006375848942846263,-0.006396261478805166,0.02708280754558563,34251.833616379394,35383.9103301903,-0.09249049694804734
2021-07-09,32933.578199292395,617861633771.9894,29065577052.29722,-0.02943147897679954,-0.029873275029032174,0.02437087764308211,34145.549611146496,35363.12458073032,0.22679835302628026
2021-07-10,33971.29774975796,637000370375.4657,24282108111.21572,0.0315094686701205,0.031023233002423812,0.027536363905369936,34148.47978180035,35243.71304710496,-0.16457505496879277
2021-07-11,33704.53847440508,632185737683.1548,20558304483.59407,-0.007852489984866207,-0.007883483139925663,0.02573751262729983,34002.000881285334,35137.087499359164,-0.15335586229029485
2021-07-12,34299.938016517444,643335853171.1349,17798828844.27227,0.017665263168178402,0.01751104594988881,0.02552357997212692,33845.67587306198,35037.437682506345,-0.1342268104611407
2021-07-13,33262.6543524462,623350567666.981,21683885320.611263,-0.030241560890626906,-0.03070827034429485,0.02303434981125253,33750.60732078694,34957.32116829544,0.21827596131917515
2021-07-14,32676.38380096018,613002045101.37,19932531699.624603,-0.017625489092782165,-0.017782667663622374,0.023246503916895724,33540.09217595638,34741.61043903411,-0.08076751906273638
2021-07-15,32878.50187357147,616691143979.958,21779069066.445965,0.006185447993340976,0.006166396630350372,0.02369763159548504,33389.55606670725,34483.41006638111,0.09263937941491585
2021-07-16,31726.038833909817,595342431373.8641,21557729227.284348,-0.035052176163416715,-0.0356812476680347,0.024764069642587306,33217.05044308117,34195.00460918774,-0.01016296144184714
2021-07-17,31399.653128682126,588495008675.5178,22671859962.66356,-0.01028762862380539,-0.010340912030109622,0.01879754841570936,32849.672640070334,33964.27789159134,0.05168126585285804
2021-07-18,31588.6713510167,592581931071.2119,17715455994.789402,0.00601975510875663,0.006001708769784858,0.01988796876790292,32547.405908157703,33744.11296522709,-0.21861479278878992
2021-07-19,31919.393922554555,597872278369.1111,17742105807.895496,0.010469657551051448,0.01041523024698495,0.01840801845927595,32207.328180448723,33612.055716933064,0.001504325551311414
2021-07-20,30928.211908849244,580252472382.7122,20095540828.29569,-0.031052657707417608,-0.031545010887284564,0.01855804947952973,31873.836402792014,33456.94137163697,0.13264688227441868
2021-07-21,29971.903783612062,561743228116.5483,23000299061.896305,-0.030920252617758326,-0.03140837183763382,0.020064746228059902,31487.482114599425,33263.102250916294,0.14454740275069122
2021-07-22,32383.78112696872,605357009416.7555,29070652059.995014,0.08047127605805993,0.07739731267628483,0.040540079290212416,31416.807722227608,33285.49710622435,0.2639249594869497
2021-07-23,32409.499767175417,607621607805.3499,19741588059.45234,0.0007941827455497652,0.0007938675493043405,0.03776113849524375,31514.444998408402,33282.22247489597,-0.32091003604905977
2021-07-24,33455.55127272261,627747173675.4332,22937379734.63381,0.03227607686208844,0.03176614762248842,0.038562683565184185,31808.14473327133,33273.98692419626,0.1618811853209201
2021-07-25,34213.59993217662,642012590040.6406,22120323672.36721,0.02265838196102532,0.02240549372295052,0.03880841493413364,32183.134530579886,33258.5919517587,-0.03562115950990263
2021-07-26,35456.12466076684,664681184168.7764,20929083220.53677,0.03631669076195854,0.03567278318849242,0.039843307041948474,32688.38177889593,33375.691558188824,-0.05385275864288286
2021-07-27,37281.91809217662,701921012034.6644,53550491997.72306,0.0514944441581926,0.05021243241693198,0.035664530411279385,33596.05409079984,33550.95636453555,1.5586640099541658
2021-07-28,39076.59377063225,732311951673.3547,36401287454.43055,0.04813796527363312,0.04701522348770955,0.0249617075809427,34896.724088945586,33699.933047753846,-0.320243641160602
2021-07-29,40031.19824444798,751371299910.5153,41369107422.71703,0.02442906051174698,0.024135443265485917,0.01716908524754977,35989.21224858548,33882.411585003945,0.1364737435318879
2021-07-30,39977.75693922764,750407963580.4731,28717414113.01727,-0.0013349913958108361,-0.0013358832906939812,0.017798100142297074,37070.39184459294,34016.03702737919,-0.30582466236030836
2021-07-31,41936.261478677225,786531956383.648,35530501782.520935,0.04898985559461999,0.04782765881889672,0.019136206843629718,38281.921874015025,34241.52953317343,0.23724586213406207
2021-08-01,41754.16660435275,784039345926.1898,28437941447.49927,-0.004342181870862771,-0.004351636521698071,0.02372807101765854,39359.1456843259,34510.74954545443,-0.19961891837144885
2021-08-02,39914.82975848789,747403845431.8284,28555173661.663795,-0.044051576056917785,-0.045051317236413695,0.03594965854698213,39996.10355542891,34709.55098556467,0.004122387493516344
2021-08-03,39278.76650810368,737440183775.5553,28057528866.262108,-0.015935512044842115,-0.01606384753751423,0.03435812306819673,40281.36761484706,34861.18017656778,-0.017427482714622466
2021-08-04,38368.35401197897,720835141114.3336,28422901237.16951,-0.023178235394354485,-0.02345107489656076,0.030863004695473803,40180.19050646802,34960.31820783104,0.013022257685235683
2021-08-05,39751.58457509862,747085951935.0547,27751046040.329308,0.03605133967143326,0.035416698276856416,0.032787167234302306,40140.24569656096,35154.433219721956,-0.023637812031714667
2021-08-06,40825.3819404497,768416417393.5968,38527930905.31518,0.027012693376347263,0.026654290535423095,0.034384789983083974,40261.33498244983,35376.946290577805,0.38834157275817005
2021-08-07,42802.13717474142,803853127161.2805,40840608016.84309,0.04841976095104594,0.047284040964648,0.03425955287791049,40385.031510459004,35672.609041792006,0.060025987827154736
2021-08-08,44647.57760300116,838457486987.6113,42725276705.46515,0.04311561408080289,0.04221201750809157,0.03704850677473901,40798.37593883735,36063.0756885823,0.04614693022799288
2021-08-09,43753.21786264632,821704814136.0109,39633218478.615295,-0.02003154008280894,-0.020234891593396007,0.03194684793370964,41346.71709657427,36389.13969234525,-0.07237070102940579
2021-08-10,46311.00189857689,861862844505.6104,42726733997.85781,0.058459335355862896,0.056814393618981454,0.03283179953132234,42351.32215235615,36809.35513981763,0.07805360346679069
2021-08-11,45639.51401890709,854344953098.7552,35669862361.54627,-0.014499532554713257,-0.014605678066504844,0.030845436551284758,43390.05929620303,37187.34100656396,-0.16516290799725875
2021-08-12,45652.06012506926,857660568377.3856,35679832771.371475,0.00027489570018168763,0.0002748579232816781,0.031757028454326375,44232.98437477027,37600.321198984726,0.00027951915609158995
2021-08-13,44495.20979327958,836054770491.896,35838614930.04035,-0.025340594238690506,-0.02566719643762567,0.03584049256269794,44757.245496603115,37994.282065395375,0.004450193466049024
2021-08-14,47717.27052766495,895084141168.7996,34320865037.164627,0.07241365417434253,0.0699118596506653,0.04062952908318757,45459.40740416361,38488.90768719849,-0.04234956891717179
2021-08-15,47088.85313451467,886593539912.8141,33294851810.64847,-0.013169600570215878,-0.013257088731525752,0.04001260227571985,45808.16105152267,39001.00149721865,-0.029894736784901177
2021-08-16,47025.00323011282,882888202377.7089,32863850458.005253,-0.0013559452004373584,-0.0013568653259845857,0.03839867715051023,46275.55896116075,39521.84650059968,-0.012944984861154252
2021-08-17,46031.75754362583,866391335029.3693,34221605780.00136,-0.021121650574411066,-0.021347904207693644,0.03345762770512712,46235.66691045346,40003.28270701998,0.041314553926999675
2021-08-18,44534.45485421991,836777066605.9799,34488116651.18446,-0.03252760201447602,-0.03306838369909465,0.03536344449091294,46077.801315498145,40423.78473807549,0.007787795607734127
2021-08-19,45015.46554608543,847143004614.999,34668999387.83819,0.010800866282972832,0.010742953558615225,0.035746397117049,45986.85923278617,40893.3598593167,0.005244784413228176
2021-08-20,46745.03462296988,867650725472.864,38434805722.95271,0.038421663663875005,0.0377019292923212,0.03675994971993417,46308.26277988478,41452.46422062862,0.10862171973834234
2021-08-21,49195.87860189616,923013359587.472,36497089236.87114,0.052430038798644274,0.05110181291485546,0.03125467744181951,46519.49250477496,42012.867469792865,-0.05041567011029269
2021-08-22,48933.68915131164,920750216465.3846,42147725293.165855,-0.005329500316606062,-0.0053437527649244695,0.030638543745939762,46783.040507174526,42563.67378259741,0.15482429351067717
2021-08-23,49250.54486971799,925630106451.4792,27110183703.24463,0.0064752060165864656,0.006454331930988458,0.030471854017211048,47100.97502711812,43090.173569163926,-0.356781806973567
2021-08-24,49518.57748790696,930729196214.2946,35800255386.41374,0.0054422264545090915,0.005427471050741666,0.027931064160892742,47599.092162015426,43600.33948768827,0.3205463960810069
2021-08-25,47940.6079149608,902489541307.5308,38387146174.87064,-0.03186621371204612,-0.03238499228038156,0.02776060440693284,48085.68545640697,44016.488929494735,0.07225900375667793
2021-08-26,49002.70376627545,921328247353.5627,33517327123.555374,0.02215440933078372,0.021912565820120126,0.028082922332811906,48655.290916434125,44407.18178529803,-0.12686066917116112
2021-08-27,47229.070650876114,887832142450.1957,33774857002.92822,-0.03619459701364447,-0.036865868870933495,0.030661109757307,48724.438920420725,44678.931014639486,0.00768348497550253
2021-08-28,49083.10330586219,922969799298.94,34607868773.39842,0.03925617483967336,0.038505240763627935,0.027255943346221268,48708.32816384445,44980.6611833533,0.02466366535313491
2021-08-29,48936.53725414221,920017911098.7556,28491785397.36584,-0.002986079564013089,-0.002990546794815267,0.027194021939795116,48708.73503567738,45279.287193850454,-0.17672522443028194
2021-08-30,48907.27073106221,919515378468.8468,26244843557.507877,-0.0005980505512273027,-0.0005982294547906868,0.02705852011534439,48659.69587301228,45511.65416892995,-0.07886279531172169
2021-08-31,47124.25422469402,885729258052.6316,32326073271.91957,-0.036457084595312605,-0.03713825096272906,0.029956416594759384,48317.649692553285,45690.657089607994,0.23171141032281106
2021-09-01,47335.42029920565,890014982634.8986,34868965959.24512,0.004481048623173223,0.0044710386172005945,0.027943696704277605,48231.19431887398,45938.01010763192,0.078663828604709
2021-09-02,48823.05520964915,918058330851.4828,39060601275.21267,0.03142752089323819,0.03094378532434155,0.029430977023877862,48205.53023935593,46256.1530643501,0.12021105876402349
2021-09-03,49338.78465183332,927323146557.212,39362789535.46043,0.01056323574937279,0.010507834576878265,0.02483481594601191,48506.9179537784,46621.83408567858,0.007736395508062044
2021-09-04,49934.5282762881,937295558515.289,42934455726.28852,0.012074550045339416,0.012002234204770321,0.020634190456225478,48628.55009241066,46961.2655423849,0.09073712084379881
2021-09-05,50013.02994694588,940538655659.8083,36985805206.72937,0.0015720919645705322,0.0015708575216005624,0.02049839699834639,48782.334762811195,47267.52047593476,-0.13855190240403648
2021-09-06,51696.206431317885,971284117138.44,31765191430.17128,0.033654759292878866,0.03310083183487929,0.023309774353664634,49180.75414856201,47563.98945115398,-0.1411518215536437
2021-09-07,52739.80016634552,992868819862.2306,37532574716.902405,0.020187046730675062,0.019985989631999723,0.01259960104548822,49982.974997369354,47833.73020326546,0.1815629948086237
2021-09-08,46995.16417095979,881943904968.6511,64010507329.271904,-0.10892411380526079,-0.11532568544699463,0.04941679114090257,49934.36697904852,47941.795080209245,0.70546539404997
2021-09-09,46085.02861578186,866885887154.3109,48151104381.08485,-0.019366578907289655,-0.019556568056672937,0.047747546840760775,49543.220322781766,47934.262637449414,-0.24776249415749552
2021-09-10,46518.94118660236,876179332243.7437,38581092903.84418,0.009415477951377538,0.00937142861999359,0.0476783940244304,49140.38554203448,47963.57687637259,-0.1987495738727033
2021-09-11,44802.60640249699,842222636395.4677,38051987740.15768,-0.03689539659169372,-0.03759325064446944,0.047946668630695674,48407.25384577861,47935.261752286846,-0.013714105118929454
2021-09-12,45196.488277558245,849828231595.6722,34160277726.441067,0.00879149466266993,0.008753074489761162,0.048421200343297596,47719.17646443752,47958.637701762804,-0.10227350119766654
2021-09-13,46195.21830082935,869122611514.091,27585855039.22065,0.022097513796597523,0.02185690190359672,0.046720277180197806,46933.32101722487,47907.902627534946,-0.1924581158229759
2021-09-14,45139.83396873267,848992511473.5618,40683028027.85497,-0.02284618129140281,-0.023111199507140693,0.044082015139683746,45847.61156042304,47842.93532200888,0.4747785765571957
2021-09-15,47135.43199562694,886524004596.6061,38645575965.52751,0.04420924605696541,0.043259896635217274,0.028468718221358526,45867.64982108977,47846.61628085935,-0.05008113115209745
2021-09-16,48186.53275704722,906727769791.0696,30037816650.128475,0.02229958901231255,0.022054588758166682,0.027906551016611856,46167.864698413396,47918.44212130673,-0.2227359561952783
2021-09-17,47879.47343992101,900990520811.9348,31578783374.768665,-0.006372305695335756,-0.006392695501479463,0.028288195015485795,46362.22644888749,48029.942740830105,0.05130088989452575
2021-09-18,47228.65821623257,892585184977.8329,27731209179.052345,-0.013592781560245792,-0.01368600919471318,0.023590135636169438,46708.80527942114,48103.715829835004,-0.12184048226476385
2021-09-19,48266.62707279063,907957032341.1344,27630476157.8273,0.02197752160998956,0.021739497028856466,0.024201232314149532,47147.39653588291,48154.43557816236,-0.003632478503719061
