date,price,market_cap,total_volume,daily_return,log_return,volatility_7d,ma_7,ma_30,volume_change,google_trends_score
2017-01-13,824.4988000000003,13274790985.975603,1860269657.1335683,0.0313615681221877,0.0308798400849332,0.0560194234080664,860.5722786767855,897.1194279667842,-0.4438491461952086,53.0
2017-01-14,817.8250000000003,13169067953.750004,1204479772.0607476,-0.008094371999086,-0.0081273092862959,0.055555995347907,848.8217358196426,898.5278446334509,-0.3525240991584558,53.0
2017-01-15,821.9124999999998,13236623006.074997,923896735.4232056,0.0049980130223452,0.0049855644168908,0.0553288151206034,836.5113786767854,899.880344633451,-0.2329495630777524,53.0
2017-01-16,828.3099999999998,13341392032.219995,831361487.5460993,0.0077836752695694,0.0077535387501226,0.0558614776520548,826.0015375283477,901.1947613001176,-0.1001575655906166,53.0
2017-01-17,904.1525000000004,14564800038.017504,1316827456.7886617,0.0915629414108252,0.0876105604033126,0.0681380265880585,825.7719714285715,905.0518013001176,0.5839408927583298,53.0
2017-01-18,873.9349999999996,14079682756.124992,1147970282.1944575,-0.0334208001415698,-0.0339920386745786,0.0390894707515982,838.5801857142858,907.8457579667844,-0.1282302960222253,53.0
2017-01-19,896.89,14451431614.25,875858520.4030075,0.0262662554995514,0.0259272213662905,0.0392691989274704,852.5034000000002,911.084714633451,-0.237037287473402,53.0
2017-01-20,891.4588,14366002978.3256,613796288.0985693,-0.0060555921015954,-0.0060740015571743,0.039567028701303,862.0691142857142,913.2459823700116,-0.2992061231348825,53.0
2017-01-21,919.6775000000004,14822821174.630005,683491208.3440663,0.0316545195358444,0.0311638431204678,0.039074726417394,876.6194714285714,915.2563557033448,0.1135473146333279,53.0
2017-01-22,918.7788120146554,14810403902.437784,830201798.1765068,-0.0009771773098123,-0.0009776550588154,0.0394577936062318,890.4575160020937,915.3123561038332,0.214648832408371,53.0
2017-01-23,918.9075,14814052397.812502,467022882.8612433,0.0001400641630626,0.0001400543549936,0.0398490921777769,903.4000160020936,916.2198961038332,-0.4374585987563099,53.0
